Dia;no_BS;no2_BS;n2o_BS;no_LV;no2_LV;n2o_LV;no_DV;no2_DV;n2o_DV
D7;35.45629;-6.59534;7.824757236;17.33680039;-3.043649861;5.694153074;9.324316516;-1.408797046;7.572444817
D7;32.90521;-7.27677;7.467337118;18.76420695;-4.694933041;5.466514104;11.56891369;-3.237171992;7.569851243
D7;26.04092;-3.78713;7.221092991;13.04647064;-1.696017606;5.081958266;8.058370124;-2.838835376;7.322311917
D7;22.67888;-3.99874;7.250989196;11.90220646;-1.850869791;4.645546969;8.216506075;-2.941786286;8.253152734
D7;18.26333;-2.31539;6.678498162;11.99925506;-3.428964713;5.651261759;7.041353345;-2.739293558;7.814645482
D7;10.97992;-2.35662;6.461386702;6.614501039;-2.002706583;5.311850972;3.815101661;-1.742808012;7.897013823
D7;9.54279;-2.54392;5.292740134;5.626771528;-1.993173184;5.275839311;3.760028494;-1.920863402;7.72504972
D7;8.35375;-2.40982;5.06346262;5.321897235;-2.414492879;4.693977952;3.241194211;-2.006496222;6.614729741
D7;8.2763;-2.55896;6.693373764;5.180287825;-2.597235528;3.836952418;3.523331849;-2.498658482;7.502253771
D8;7.93595;-2.70347;4.882759294;4.97262371;-2.452986696;4.426304468;3.495836433;-2.465110145;9.239801027
D8;7.28478;-1.43003;4.586349972;4.625852934;-1.543633607;4.720193683;3.039435968;-1.406906984;6.804967534
D8;6.93825;-2.43877;3.662684018;4.363168788;-2.781118398;4.588604881;3.152194915;-2.739137815;7.545540267
D8;7.07162;-3.07692;4.204244579;4.490283974;-2.88905759;4.13815209;2.931794351;-2.808124948;6.671681563
D8;6.73478;-3.34541;4.234614134;4.364741653;-3.709712372;3.959448856;3.082488394;-3.57020191;7.366365321
D8;6.3694;-2.74417;4.422238713;3.768143904;-2.598021677;3.930221603;3.087793207;-2.666114443;7.056721211
D8;5.61671;-1.54347;3.261351178;3.658758999;-1.651635904;3.96090274;2.899650399;-1.624853557;7.399622253
D8;5.75583;-1.30843;3.602721443;3.742920618;-1.559312721;3.415017709;4.217317954;-2.104047301;7.859526406
D8;6.11411;-2.36171;3.921540699;3.67652147;-2.379779781;3.459067785;2.820131115;-2.121256981;7.323539144
D8;7.01415;-6.01977;5.10775128;4.171110707;-5.750021643;4.474619423;3.21948089;-5.866078385;7.717534748
D8;6.677;-3.47096;3.619105132;4.467396432;-3.863936658;3.776263212;2.47056708;-3.961822415;7.09782445
D8;7.38987;-1.33672;5.081438984;5.692677733;-1.718274057;5.487599984;4.340249396;-2.66619517;7.303431455
D8;12.07836;-0.12141;7.840236139;8.262574789;-1.52820763;5.876142406;5.498217603;-2.233208459;8.505354865
D8;14.4992;-1.65578;9.228586013;8.888093699;-1.786126769;6.124823352;5.586585065;-0.887202796;8.594126711
D8;16.11358;-2.82393;8.867731571;9.958407534;-1.708147364;6.42329137;7.510394751;-2.390631838;8.780092162
D8;16.14279;-3.04291;8.968151203;7.950498822;-0.315016252;6.48531284;6.197371366;-1.212571438;8.375102603
D8;14.84595;-3.95373;8.112783819;7.054102638;-0.925772168;5.861446408;5.574360411;-1.415606681;8.34213249
D8;12.1339;-3.80648;7.234062566;5.830953079;-1.172476722;5.898564179;4.212691159;-1.334680065;8.309162376
D8;9.7728;-3.55731;6.355341312;4.946266733;-1.316939327;5.935681949;3.889851287;-1.383626413;8.276192263
D8;6.44467;-1.74782;4.997252424;3.738211383;-1.178708204;4.9867403;3.482613861;-1.433712421;7.034134876
D8;5.30296;-1.33111;4.030301799;3.072925432;-0.820180209;5.163980604;2.509342108;-0.708897531;7.344380076
